circuit_id,n_qubits,depth,gate_count,fidelity,expressibility_distance,normalized_expressibility,execution_time,backend,entropy,zero_state_probability,concentration,measured_states,measurement_variance,measurement_std,top_1_probability,top_5_probability,top_10_probability,total_measurements,struct_n_qubits,struct_depth,struct_total_gates,struct_cnot_count,struct_single_qubit_gates,struct_unique_gate_types,struct_cnot_connections,struct_gate_counts,struct_coupling_density,struct_max_degree,struct_avg_degree,struct_connectivity_ratio,struct_diameter,struct_clustering_coefficient,param_param_count,param_param_mean,param_param_std,param_param_min,param_param_max,hw_original_depth,hw_transpiled_depth,hw_original_gate_count,hw_transpiled_gate_count,hw_gate_overhead,hw_depth_overhead,seq_sequence_length,seq_unique_gates_in_sequence,seq_param_gate_ratio,seq_two_qubit_gate_ratio
36,30,2,31,0.0078125,2.9746278413219107,2.770338059702805e-09,0.33256202379862465,ibm_mega_job,6.9531249819663135,0.0078125,0.015625,125,0.023424000000000007,0.15304901175767197,0.015625,0.0625,0.1015625,128,30,2,31,7,24,7,7,"{'Y': 6, 'S': 3, 'RZ': 3, 'T': 7, 'X': 4, 'CNOT': 7, 'H': 1}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,5.334367824110917,0.6049494244708771,4.511662695038779,5.94897616888525,2,149,31,759,24.483870967741936,74.5,31,7,0.03,0.07
37,30,2,34,0.0,3.4909897427125194,3.2512375551392505e-09,0.33256202379862465,ibm_mega_job,6.999999981533505,0.0,0.0078125,128,0.0,0.0,0.0078125,0.0390625,0.078125,128,30,2,34,8,26,7,8,"{'X': 7, 'RZ': 5, 'T': 4, 'H': 5, 'Y': 2, 'S': 3, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,5,2.595739917457011,1.8719639321479107,0.5920694954071346,5.460520589185424,2,192,34,1264,37.1764705882353,96.0,34,7,0.05,0.08
38,30,2,30,0.0,3.1562079169860375,2.939447683269193e-09,0.33256202379862465,ibm_mega_job,6.968749981822044,0.0,0.015625,126,0.015621063240110858,0.12498425196844144,0.015625,0.0546875,0.09375,128,30,2,30,6,24,7,6,"{'T': 5, 'S': 5, 'X': 3, 'H': 4, 'RZ': 3, 'Y': 4, 'CNOT': 6}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,2.3679255379953674,1.480030069255585,0.2790201733931547,3.5267866647099395,2,145,30,1006,33.53333333333333,72.5,30,7,0.03,0.06
39,30,2,40,0.0,3.1019327635496543,2.8889000076331704e-09,0.33256202379862465,ibm_mega_job,6.999999981533505,0.0,0.0078125,128,0.0,0.0,0.0078125,0.0390625,0.078125,128,30,2,40,6,34,7,6,"{'X': 4, 'RZ': 9, 'H': 6, 'T': 8, 'Y': 4, 'S': 3, 'CNOT': 6}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,9,3.0078417069397023,1.3683375719274447,0.6494105440132841,5.526030796391822,2,160,40,1172,29.3,80.0,40,7,0.09,0.06
40,30,2,31,0.2578125,2.480239509403982,2.309903045561148e-09,0.33256202379862465,ibm_mega_job,5.001179022465583,0.2578125,0.2578125,65,17.291360946745563,4.158288223144899,0.2578125,0.4453125,0.5234375,128,30,2,31,3,28,7,3,"{'S': 7, 'X': 6, 'RZ': 4, 'T': 4, 'Y': 5, 'H': 2, 'CNOT': 3}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,4,3.7306269385577444,1.7041917156402988,1.0794084302158184,5.685849821114426,2,59,31,303,9.774193548387096,29.5,31,7,0.04,0.03
41,30,2,34,0.0234375,2.841894229198761,2.6467202503222607e-09,0.33256202379862465,ibm_mega_job,6.713834433048401,0.0234375,0.0390625,113,0.29211371289842575,0.5404754507823882,0.0390625,0.1328125,0.1953125,128,30,2,34,9,25,7,9,"{'Y': 4, 'RZ': 5, 'T': 5, 'X': 5, 'S': 4, 'H': 2, 'CNOT': 9}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,5,3.3285789359884403,2.018802730559887,0.9293180571104811,5.450333346732172,2,136,34,1138,33.470588235294116,68.0,34,7,0.05,0.09
42,30,2,29,0.0234375,2.6525768608307287,2.470404711394318e-09,0.33256202379862465,ibm_mega_job,6.610356992524671,0.0234375,0.0390625,107,0.38204209974670267,0.618095542571456,0.0390625,0.140625,0.21875,128,30,2,29,8,21,7,8,"{'RZ': 2, 'S': 6, 'H': 3, 'T': 3, 'Y': 4, 'X': 3, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,2,3.4095023189537055,1.3317980167500507,2.0777043022036548,4.741300335703756,2,102,29,812,28.0,51.0,29,7,0.02,0.08
43,30,2,34,0.0078125,2.796828272416917,2.604749307424684e-09,0.33256202379862465,ibm_mega_job,6.937499982110583,0.0078125,0.015625,124,0.0312174817898023,0.17668469596940845,0.015625,0.0703125,0.109375,128,30,2,34,7,27,7,7,"{'Y': 4, 'RZ': 3, 'H': 7, 'T': 3, 'X': 5, 'S': 5, 'CNOT': 7}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,4.227455434298296,1.829713276661353,1.729397233847334,6.060911546695539,2,112,34,842,24.764705882352942,56.0,34,7,0.03,0.07
44,30,2,32,0.0,2.7412133951420596,2.55295391673414e-09,0.33256202379862465,ibm_mega_job,6.653402109313166,0.0,0.0390625,110,0.37322314049586763,0.6109199133240524,0.0390625,0.140625,0.21875,128,30,2,32,8,24,7,8,"{'H': 6, 'Y': 3, 'S': 4, 'RZ': 6, 'T': 3, 'X': 2, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,6,3.3263474600451506,1.6702189219378507,1.2300169672456869,5.754679533359517,2,176,32,768,24.0,88.0,32,7,0.06,0.08
45,30,2,32,0.0,3.0471357926924743,2.837866351653332e-09,0.33256202379862465,ibm_mega_job,6.9843749816777745,0.0,0.015625,127,0.007812015624031249,0.08838560756158917,0.015625,0.046875,0.0859375,128,30,2,32,9,23,7,9,"{'RZ': 3, 'Y': 3, 'X': 3, 'H': 7, 'T': 5, 'S': 2, 'CNOT': 9}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,3.587218830733667,0.6955589712393262,2.8919062162317264,4.537460152561935,2,188,32,1146,35.8125,94.0,32,7,0.03,0.09
