circuit_id,config_group,n_qubits,depth,two_qubit_ratio_target,zero_state_prob,robust_fidelity,expressibility_score,expressibility_entropy
130,q10_d15_r10,10,15,0.1,0.9453125,0.9765625,,
131,q10_d15_r30,10,15,0.3,0.125,0.40625,,
132,q10_d15_r50,10,15,0.5,0.0,0.015625,,
133,q10_d15_r70,10,15,0.7,0.0,0.0,,
134,q10_d15_r90,10,15,0.9,0.03125,0.140625,,
135,q10_d16_r10,10,16,0.1,0.171875,0.390625,,
136,q10_d16_r30,10,16,0.3,0.2578125,0.5625,,
137,q10_d16_r50,10,16,0.5,0.0078125,0.0390625,,
138,q10_d16_r70,10,16,0.7,0.0,0.0234375,,
139,q10_d16_r90,10,16,0.9,0.0390625,0.1953125,,
140,q10_d17_r10,10,17,0.1,0.546875,0.796875,,
141,q10_d17_r30,10,17,0.3,0.0078125,0.046875,,
142,q10_d17_r50,10,17,0.5,0.0,0.0078125,,
143,q10_d17_r70,10,17,0.7,0.0,0.0,,
144,q10_d17_r90,10,17,0.9,0.0,0.0234375,,
145,q10_d18_r10,10,18,0.1,0.3046875,0.671875,,
146,q10_d18_r30,10,18,0.3,0.0078125,0.0546875,,
147,q10_d18_r50,10,18,0.5,0.0078125,0.078125,,
148,q10_d18_r70,10,18,0.7,0.0390625,0.328125,,
149,q10_d18_r90,10,18,0.9,0.0,0.015625,,
150,q10_d19_r10,10,19,0.1,0.4140625,0.7109375,,
151,q10_d19_r30,10,19,0.3,0.0,0.015625,,
152,q10_d19_r50,10,19,0.5,0.015625,0.046875,,
153,q10_d19_r70,10,19,0.7,0.0,0.015625,,
154,q10_d19_r90,10,19,0.9,0.0,0.0078125,,
155,q10_d20_r10,10,20,0.1,0.6484375,0.9296875,,
156,q10_d20_r30,10,20,0.3,0.0,0.0078125,,
157,q10_d20_r50,10,20,0.5,0.015625,0.1015625,,
158,q10_d20_r70,10,20,0.7,0.0,0.03125,,
159,q10_d20_r90,10,20,0.9,0.015625,0.0546875,,
160,q15_d5_r10,15,5,0.1,0.4296875,0.953125,,
161,q15_d5_r30,15,5,0.3,0.4921875,0.9921875,,
162,q15_d5_r50,15,5,0.5,0.6875,0.984375,,
163,q15_d5_r70,15,5,0.7,0.4609375,0.953125,,
164,q15_d5_r90,15,5,0.9,0.234375,0.8046875,,
165,q15_d6_r10,15,6,0.1,0.9140625,1.0,,
166,q15_d6_r30,15,6,0.3,0.765625,0.9921875,,
167,q15_d6_r50,15,6,0.5,0.3984375,0.9609375,,
