,,,zero_state_prob,zero_state_prob,zero_state_prob,robust_fidelity,robust_fidelity,expressibility_score,expressibility_score,expressibility_entropy,expressibility_entropy
,,,mean,std,count,mean,std,mean,std,mean,std
n_qubits,depth,two_qubit_ratio_target,,,,,,,,,
20,16,0.9,0.0,,1,0.0,,,,,
20,17,0.1,0.2109375,,1,0.7109375,,,,,
20,17,0.3,0.0,,1,0.0,,,,,
20,17,0.5,0.0,,1,0.0,,,,,
20,17,0.7,0.0,,1,0.0,,,,,
20,17,0.9,0.0,,1,0.0,,,,,
20,18,0.1,0.34375,,1,0.8671875,,,,,
20,18,0.3,0.0,,1,0.0,,,,,
20,18,0.5,0.0,,1,0.0,,,,,
20,18,0.7,0.0,,1,0.0,,,,,
20,18,0.9,0.0,,1,0.0,,,,,
20,19,0.1,0.0,,1,0.140625,,,,,
20,19,0.3,0.0,,1,0.0,,,,,
20,19,0.5,0.0,,1,0.0,,,,,
20,19,0.7,0.0,,1,0.0,,,,,
20,19,0.9,0.0,,1,0.0,,,,,
20,20,0.1,0.0,,1,0.09375,,,,,
20,20,0.3,0.0,,1,0.0078125,,,,,
20,20,0.5,0.0,,1,0.0,,,,,
20,20,0.7,0.0,,1,0.0,,,,,
20,20,0.9,0.0,,1,0.0,,,,,
